,Dataset,Variables,Default/Tune,Encoder,Metric,Value,Time,Iterations,mean_Time
0,adult,AllVariables,Default,OneHotEncoding,BalancedAccuracy,0.8428120726628634,2.8707499504089355,1,2.8707499504089355
1,adult,AllVariables,Tune,OneHotEncoding,BalancedAccuracy,0.8414010545884129,200.57484602928162,100,2.005748460292816
2,adult,AllVariables,Default,CountEncoding,BalancedAccuracy,0.8412375657045468,1.7032272815704346,1,1.7032272815704346
3,adult,OnlyVariablesWithCard>9,Default,CountEncoding,BalancedAccuracy,0.8440092748090707,1.956571102142334,1,1.956571102142334
4,adult,AllVariables,Tune,CountEncoding,BalancedAccuracy,0.84172130798635,73.20296120643616,100,0.7320296120643616
5,adult,OnlyVariablesWithCard>9,Tune,CountEncoding,BalancedAccuracy,0.8415843782485921,82.22361087799072,100,0.8222361087799073
6,adult,AllVariables,Default,OrdinalEncoder,BalancedAccuracy,0.8423982913164894,1.3272724151611328,1,1.3272724151611328
7,adult,OnlyVariablesWithCard>9,Default,OrdinalEncoder,BalancedAccuracy,0.8398566698463632,1.632317066192627,1,1.632317066192627
8,adult,AllVariables,Tune,OrdinalEncoder,BalancedAccuracy,0.8384177815851526,58.46368741989136,100,0.5846368741989135
9,adult,OnlyVariablesWithCard>9,Tune,OrdinalEncoder,BalancedAccuracy,0.8418273754042472,89.0062108039856,100,0.890062108039856
10,adult,AllVariables,Default,HGB_NativeSupport,BalancedAccuracy,0.8420355771180861,1.7925384044647217,1,1.7925384044647217
11,adult,OnlyVariablesWithCard>9,Default,HGB_NativeSupport,BalancedAccuracy,0.8395901056777004,2.0973241329193115,1,2.0973241329193115
12,adult,AllVariables,Tune,HGB_NativeSupport,BalancedAccuracy,0.8414835549933024,82.167396068573,100,0.82167396068573
13,adult,OnlyVariablesWithCard>9,Tune,HGB_NativeSupport,BalancedAccuracy,0.8412899438931695,90.84668231010437,100,0.9084668231010437
14,adult,AllVariables,Default,TargetEncoder,BalancedAccuracy,0.8404086919711469,1.3607637882232666,1,1.3607637882232666
15,adult,OnlyVariablesWithCard>9,Default,TargetEncoder,BalancedAccuracy,0.8400124933715793,1.6914279460906982,1,1.6914279460906982
16,adult,AllVariables,Tune,TargetEncoder,BalancedAccuracy,0.8407627998220453,62.152297496795654,100,0.6215229749679565
17,adult,OnlyVariablesWithCard>9,Tune,TargetEncoder,BalancedAccuracy,0.840800587396962,102.34597826004028,100,1.0234597826004028
18,adult,AllVariables,Default,CatboostNativeSupport,BalancedAccuracy,0.8430083058442999,96.78803706169128,1,96.78803706169128
19,adult,OnlyVariablesWithCard>9,Default,CatboostNativeSupport,BalancedAccuracy,0.8430083058442999,102.04419732093811,1,102.04419732093811
20,adult,AllVariables,Tune,CatboostNativeSupport,BalancedAccuracy,0.8426412884721444,200.01217079162598,20,10.000608539581298
21,adult,OnlyVariablesWithCard>9,Tune,CatboostNativeSupport,BalancedAccuracy,0.8426412884721444,187.9355354309082,20,9.39677677154541
