,Dataset,Variables,Default/Tune,Encoder,Metric,Value,Time,Iterations,mean_Time
0,kick,AllVariables,Default,OneHotEncoding,BalancedAccuracy,0.6578025693885238,28.22479796409607,1,28.22479796409607
1,kick,AllVariables,Tune,OneHotEncoding,BalancedAccuracy,0.661100685375069,826.6504507064819,20,41.332522535324095
2,kick,AllVariables,Default,CountEncoding,BalancedAccuracy,0.6579489020979112,1.2162466049194336,1,1.2162466049194336
3,kick,OnlyVariablesWithCard>9,Default,CountEncoding,BalancedAccuracy,0.6538987841478817,1.1777403354644775,1,1.1777403354644775
4,kick,AllVariables,Tune,CountEncoding,BalancedAccuracy,0.6587269324396641,20.127923488616943,20,1.0063961744308472
5,kick,OnlyVariablesWithCard>9,Tune,CountEncoding,BalancedAccuracy,0.6574979566484374,19.18990397453308,20,0.959495198726654
6,kick,AllVariables,Default,OrdinalEncoder,BalancedAccuracy,0.6544302921031355,0.8619387149810791,1,0.8619387149810791
7,kick,OnlyVariablesWithCard>9,Default,OrdinalEncoder,BalancedAccuracy,0.6555559695162538,1.0342321395874023,1,1.0342321395874023
8,kick,AllVariables,Tune,OrdinalEncoder,BalancedAccuracy,0.6570259615372014,14.685995101928711,20,0.7342997550964355
9,kick,OnlyVariablesWithCard>9,Tune,OrdinalEncoder,BalancedAccuracy,0.6582257602915664,17.75323748588562,20,0.887661874294281
10,kick,AllVariables,Default,HGB_NativeSupport,BalancedAccuracy,0.6221021112858697,1.8780512809753418,1,1.8780512809753418
11,kick,OnlyVariablesWithCard>9,Default,HGB_NativeSupport,BalancedAccuracy,0.6241782200859932,1.9042460918426514,1,1.9042460918426514
12,kick,AllVariables,Tune,HGB_NativeSupport,BalancedAccuracy,0.6398025832618013,19.700146675109863,20,0.9850073337554932
13,kick,OnlyVariablesWithCard>9,Tune,HGB_NativeSupport,BalancedAccuracy,0.637074662175305,16.891465425491333,20,0.8445732712745666
14,kick,AllVariables,Default,TargetEncoder,BalancedAccuracy,0.657313120799198,0.868736743927002,1,0.868736743927002
15,kick,OnlyVariablesWithCard>9,Default,TargetEncoder,BalancedAccuracy,0.6566591747771797,1.014829158782959,1,1.014829158782959
16,kick,AllVariables,Tune,TargetEncoder,BalancedAccuracy,0.6553405341397224,15.702942371368408,20,0.7851471185684205
17,kick,OnlyVariablesWithCard>9,Tune,TargetEncoder,BalancedAccuracy,0.6593669812096685,20.00809955596924,20,1.0004049777984618
18,kick,AllVariables,Default,CatboostNativeSupport,BalancedAccuracy,0.6574422237930353,2.256887197494507,1,2.256887197494507
19,kick,OnlyVariablesWithCard>9,Default,CatboostNativeSupport,BalancedAccuracy,0.6574422237930353,2.2381973266601562,1,2.2381973266601562
20,kick,AllVariables,Tune,CatboostNativeSupport,BalancedAccuracy,0.6547047927986054,95.24941396713257,20,4.762470698356628
21,kick,OnlyVariablesWithCard>9,Tune,CatboostNativeSupport,BalancedAccuracy,0.6547047927986054,100.75179505348206,20,5.037589752674103
