,Dataset,Variables,Default/Tune,Encoder,Metric,Value,Time,Iterations,mean_Time
0,open_payments,AllVariables,Default,OneHotEncoding,BalancedAccuracy,0.8517453064189986,54.28791785240173,1,54.28791785240173
1,open_payments,AllVariables,Tune,OneHotEncoding,BalancedAccuracy,0.8755766473919198,584.4420716762543,10,58.44420716762543
2,open_payments,AllVariables,Default,CountEncoding,BalancedAccuracy,0.8831639515419952,0.33795857429504395,1,0.33795857429504395
3,open_payments,AllVariables,Tune,CountEncoding,BalancedAccuracy,0.8944403016376683,5.8771491050720215,10,0.5877149105072021
4,open_payments,AllVariables,Default,OrdinalEncoder,BalancedAccuracy,0.8367003455466666,0.2350928783416748,1,0.2350928783416748
5,open_payments,AllVariables,Tune,OrdinalEncoder,BalancedAccuracy,0.870580733983009,2.0348551273345947,10,0.20348551273345947
6,open_payments,AllVariables,Default,HGB_NativeSupport,BalancedAccuracy,0.8295086102074749,0.34642529487609863,1,0.34642529487609863
7,open_payments,AllVariables,Tune,HGB_NativeSupport,BalancedAccuracy,0.8589613855273666,2.333542585372925,10,0.23335425853729247
8,open_payments,AllVariables,Default,TargetEncoder,BalancedAccuracy,0.9163152359536684,0.27484583854675293,1,0.27484583854675293
9,open_payments,AllVariables,Tune,TargetEncoder,BalancedAccuracy,0.9122019294959802,2.0451889038085938,10,0.20451889038085938
10,open_payments,AllVariables,Default,CatboostNativeSupport,BalancedAccuracy,0.9165386778082851,1.1470975875854492,1,1.1470975875854492
11,open_payments,AllVariables,Tune,CatboostNativeSupport,BalancedAccuracy,0.9182978464576398,8.66935920715332,10,0.866935920715332
